antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'RUCC_2023_1', 'Track Type_Main', 'Accident Type_Hwy-rail crossing'})",frozenset({'Cause_M'}),0.03836583531045657,0.256235171575719,0.038307968288872174,0.9984917043740573,3.896778487644102,1.0,0.028477291895451555,493.1160812453001,0.7730359356268945,0.1494694061864981,0.9979720799259383,0.5739974330361705
"frozenset({'Visibility_Day', 'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.031277125166367686,0.256235171575719,0.031190324633991087,0.9972247918593894,3.8918341526924363,1.0,0.023176025100591625,268.00325984220996,0.7670426319382871,0.12168416299808105,0.9962687021023968,0.5594750878899476
"frozenset({'RUCC_2023_1', 'Accident Type_Hwy-rail crossing', 'Visibility_Day'})",frozenset({'Cause_M'}),0.023002141079798623,0.256235171575719,0.022944274058214222,0.9974842767295596,3.8928468351769463,1.0,0.017050316492023126,295.64651929863874,0.7606143443285825,0.0895235944908557,0.9966175823670363,0.5435140444171737
"frozenset({'RUCC_2023_1', 'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.020398125108500666,0.256235171575719,0.020398125108500666,1.0,3.902664859981933,1.0,0.015171408021501017,inf,0.7592521487432438,0.07960704607046071,1.0,0.5398035230352304
"frozenset({'Visibility_Day', 'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Weather Condition_Clear'})",frozenset({'Cause_M'}),0.04366066778542908,0.256235171575719,0.043573867253052484,0.9980119284294234,3.8949060829243147,1.0,0.0323864685519426,374.1137086974086,0.7771868987909434,0.16999661361327462,0.9973270158864751,0.5840330644857145
"frozenset({'Weather Condition_Clear', 'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.03379434060528905,0.256235171575719,0.03373647358370465,0.9982876712328768,3.895982214673745,1.0,0.025077174920420123,434.35865979979246,0.7693241182694153,0.131632422668774,0.9976977551213991,0.5649749105938549
"frozenset({'RUCC_2023_1', 'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Weather Condition_Clear'})",frozenset({'Cause_M'}),0.02734216769862855,0.256235171575719,0.02728430067704415,0.9978835978835978,3.8944052518126586,1.0,0.020278275645533982,351.42888143046173,0.7641139123450738,0.10645743960261907,0.9971544740548085,0.5521825396825396
"frozenset({'Weather Condition_Clear', 'Accident Type_Hwy-rail crossing', 'Region_South', 'Visibility_Day'})",frozenset({'Cause_M'}),0.02326254267692842,0.256235171575719,0.02320467565534402,0.9975124378109452,3.8929567384396893,1.0,0.01724399404123378,298.9934610265557,0.7608245515720738,0.09053962519756152,0.9966554452509877,0.5440362550391673
"frozenset({'Visibility_Day', 'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.030582720907354897,0.256235171575719,0.0305248538857705,0.9981078524124882,3.8952804420822513,1.0,0.02268848514682209,393.0797118222437,0.7667276936101354,0.11910137728606907,0.9974559867377428,0.5586180635142839
"frozenset({'RUCC_2023_1', 'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Visibility_Day'})",frozenset({'Cause_M'}),0.022365603842370234,0.256235171575719,0.022307736820785833,0.9974126778783958,3.8925674088564945,1.0,0.016576882482841535,287.4651061859808,0.7601002467475829,0.08703996387446376,0.9965213169234076,0.5422361492373009
"frozenset({'RUCC_2023_1', 'Track Type_Main', 'Accident Type_Hwy-rail crossing', 'Region_South'})",frozenset({'Cause_M'}),0.02010879000057867,0.256235171575719,0.02010879000057867,1.0,3.902664859981933,1.0,0.014956210744600292,inf,0.7590279623232055,0.07847786811201445,1.0,0.5392389340560072
"frozenset({'Accident Type_Hwy-rail crossing', 'Region_South', 'Weather Condition_Clear', 'Visibility_Day', 'Track Type_Main'})",frozenset({'Cause_M'}),0.02259707192870783,0.256235171575719,0.02256813841791563,0.9987195902688861,3.897667849917936,1.0,0.016777973815154317,580.8803309994009,0.7606242015880571,0.08806593654736367,0.9982784750203548,0.5433977355138468
